name,par,href,summary,goals,prerequisites
linear regression as maximum likelihood,Machine Learning,https://metacademy.org/graphs/concepts/linear_regression_as_maximum_likelihood,"One way to solve a standard linear regression problem, y=w*x, is to assume the likelihood of the observed y, p(y; w*x, sigma^2) is Gaussian. This assumption means that we believe the observed values of y are a deterministic function of w*x plus some random Gaussian noise: y = w*x + e, where e is random Gaussian noise. If we assume a known sigma, the maximum likelihood estimator for w is obtained by minimizing the sum-of-squares error, Sum[(y-w*x)^2] for all y and x pairs, which has a closed form solution.",,"linear regression,maximum likelihood"
linear regression: closed-form solution,"Linear Algebra,Machine Learning",https://metacademy.org/graphs/concepts/linear_regression_closed_form,Linear regression has a closed-form solution in terms of basic linear algebra operations. This makes it a useful starting point for understanding many other statistical learning algorithms.,Derive the optimality conditions by setting the gradient equal to zero. Know why the matrix in the closed-form solution might not be invertible and what can be done in this case,"linear least squares,linear regression"
linear systems as matrices,Linear Algebra,https://metacademy.org/graphs/concepts/linear_systems_as_matrices,We can represent systems of linear equations in terms of matrices and vectors. This allows us to analyze and solve them using the tools of linear algebra.,"Know how systems of linear equations can be compactly represented in terms of matrix-vector multiplication. Give examples of overdetermined and underdetermined systems, and systems with a unique solution",vectors
linear transformations as matrices,Linear Algebra,https://metacademy.org/graphs/concepts/linear_transformations_as_matrices,"Linear transformations from one vector space to another can be represented as matrices if a basis is given for each space. Common examples include projections, reflections, rotations, and scaling. Linear combinations, compositions and inverses of transformations can be analyzed in terms of matrix operations.","Know what is meant by a linear transformation, and what properties it must satisfy. Show that matrix-vector products are linear. Be able to recover the matrix for a linear transformation in the standard basis for R^n. Why do linear combinations of linear transformations correspond to linear combinations of matrices?. Be familiar with several examples of transformations represented as matrices: reflection, rotation, and scaling",dot product
linear-Gaussian models,"Machine Learning,Probabilistic Graphical Models",https://metacademy.org/graphs/concepts/linear_gaussian_models,"A linear-Gaussian model is a Bayes net where all the variables are Gaussian, and each variable's mean is linear in the values of its parents. They are widely used because they support efficient inference. Linear dynamical systems are an important special case.",,"multivariate Gaussian distribution,Bayesian networks"
linked lists,"Data Structures & Algorithms,Programming",https://metacademy.org/graphs/concepts/linked_lists,The linked list is one of the fundamental data structures in programming. Each node may have a link to a successor node. Linked lists can be used to implement stacks and first-in-first-out queues.,Be able to implement a linked list. Be able to analyze the running times of common operations on linked lists. Understand the tradeoffs of linked lists vs. arrays,"C pointers,recursion (programming)"
Lob's Theorem,Logic,https://metacademy.org/graphs/concepts/lobs_theorem,"Lob's Theorem asserts that no formal system T can prove statements of the form ""If A is provable in T, then A is true"" unless it is also capable of proving A directly. It can be seen as a generalization of Godel's Second Incompleteness Theorem.",Know the statement of Lob's Theorem and why it is significant. Show how to derive Godel's Second Incompleteness Theorem as a special case of Lob's Theorem. Prove Lob's Theorem,"semantics of first-order logic,proofs in first-order logic,Godel numbering,Godels Incompleteness Theorems"
local search,Symbolic AI,https://metacademy.org/graphs/concepts/local_search,"Local search algorithms are search algorithms which only maintain the current state, and not the way in which it was constructed. Local search algorithms often take the form of ""hill climbing,"" where the state is iteratively replaced with a nearby one which improves the objective function.","What distinguishes local search algorithms from other search algorithms?. Know some terminology: current state, objective function, hill climbing, global maximum, local maximum, plateau. Why do local optima and plateaux make the search difficult?. Why are random restarts often a good idea?",search problems
logistic regression,Machine Learning,https://metacademy.org/graphs/concepts/logistic_regression,"Logistic regression is a machine learning model for binary classification, i.e. learning to classify data points into one of two categories. It's a linear model, in that the decision depends only on the dot product of a weight vector with a feature vector. This means the classification boundary can be represented as a hyperplane. It's a widely used model in its own right, and the general structure of linear-followed-by-sigmoid is a common motif in neural networks.",Know what assumption logistic regression makes about p(y|x). Know of one method for fitting the maximum likelihood solution (e.g. gradient descent). Understand why logistic regression uses a linear decision boundary to classify data. Understand why it's common to use a regularization term (such as the squared norm of the weights),"binary linear classifiers,linear regression as maximum likelihood,ridge regression,optimization problems"
log-linear MRFs,Probabilistic Graphical Models,https://metacademy.org/graphs/concepts/log_linear_mrfs,"Often, when we use MRFs, we want to assign a particular functional form to the cliques. A common choice is a log-linear representation, where the potentials are log-linear functions of the model parameters. Boltzmann machines and Gaussian MRFs are probably the most common examples.",,Markov random fields
long short-term memory (LSTM),Uncategorized,https://metacademy.org/graphs/concepts/long_short_term_memory,"Long Short-Term Memory (LSTM) is one of the most widely used RNN architectures today. It's built out of LSTM blocks, which have read and write gates which control how it talks to other units in the network, as well as forget gates which determine whether it erases its previous value. They are good at modeling long sequences, partly because they make the exploding/vanishing gradient problem less severe.","Be familiar with the LSTM block architecture. In particular, know what happens when the various gates are set to different values.. Understand why this helps attenuate the problem of exploding/vanishing gradients.","exploding and vanishing gradients,recurrent neural networks"
loopy belief propagation,Probabilistic Graphical Models,https://metacademy.org/graphs/concepts/loopy_belief_propagation,"The sum-product and max-product algorithms give exact answers for tree graphical models, but if we apply the same update rules on a general graph, it often gives pretty reasonable results. This is known as loopy belief propagation, and it is a widely used approximate inference algorithm in coding theory and low level vision.",,"sum-product on trees,max-product on trees"
loopy BP as variational inference,Probabilistic Graphical Models,https://metacademy.org/graphs/concepts/loopy_bp_as_variational,"Loopy belief propagation sounds like a hack, but it can be interpreted as a variational inference algorithm. In particular, it is a fixed point update for an approximation to variational inference, where both the energy functional and the marginal polytope are approximated. While this analysis doesn't lead to any strong guarantees, it is the basis for generalizations of loopy BP which have stronger guarantees.",,"loopy belief propagation,variational inference,Lagrange multipliers"
loss function,Uncategorized,https://metacademy.org/graphs/concepts/loss_function,"A loss function or cost function is a function that maps the outcome of a decision to a real-valued cost associated with that outcome. Loss functions are common in machine learning, information theory, statistics, and mathematical optimization, and help guide decision making under uncertainty.",,
Lowenheim-Skolem theorems,"Logic,Set Theory",https://metacademy.org/graphs/concepts/lowenheim_skolem_theorems,"The Lowenheim-Skolem theorems state that if a first-order theory has an infinite model, then it has models of every infinite cardinality. It implies that certain foundational theories in mathematics, such as Peano arithmetic and Zermelo-Frankl set theory, must have nonstandard models.",Know the statements of the upward and downward L-S theorems.. Prove the upward and downward L-S theorems.. Know what Skolem's Paradox refers to and why it is paradoxical.. Know why the L-S theorems imply nonstandard models of the Peano Axioms.,"semantics of first-order logic,cardinality,completeness of first-order logic,compactness of first-order logic,Zermelo-Frankl axioms,countable sets,Peano axioms"
lower bound on sorting,Data Structures & Algorithms,https://metacademy.org/graphs/concepts/lower_bound_on_sorting,"It can be shown that any general purpose sorting algorithm, i.e. one which uses only comparisons, requires at least O(n log n) operations in the worst case. This motivates the need for special purpose sorting algorithms which exploit additional problem structure.","Know what a comparison-based sorting algorithm is, and give examples which do and do not fall in this category. Prove that any comparison-based sorting algorithm requires at least O(n log n) operations","Stirlings approximation,sorting"
LU factorization,Linear Algebra,https://metacademy.org/graphs/concepts/lu_factorization,The LU factorization is a factorization of a matrix into a lower triangular and an upper triangular matrix. It can be computed by recording the row operations used in Gaussian elimination. It can be a more efficient and numerically stable method of solving linear systems compared to matrix inverses.,Know how the row operations of Gaussian elimination can be represented as matrix multiplications. Why does Gaussian elimination without row exchanges give an LU factorization?. Know how Gaussian elimination with row exchanges can be represented with an additional permutation matrix. Show that the LU factorization is unique,"matrix transpose,Gaussian elimination,matrix multiplication,matrix inverse"
machine representations of integers and characters,Programming,https://metacademy.org/graphs/concepts/machine_representations_of_integers_and_characters,"In most programming languages, integers are stored in memory using a particular, standardized binary representation. (At least, standard for any given hardware architecture.) Characters are represented similarly. Understanding this representation is important when performing bitwise operations, and it explains why overflow bugs are possible.","Understand how to represent positive integers in binary. Understand how (fixed-size) integers are represented in memory. How many different values can be represented in a given number of bytes?. Know the difference between signed and unsigned ints, and the meaning of the sign bit in the two's complement representation; understand why the sign bit was designed this way (as opposed to simply negating the number). What is the difference between shorts, ints, and longs in C?. Know the distinction between big endian and little endian representations. Be familiar with the ASCII representation system, and know why capital and lowercase letters start at the places they do",
MAP parameter estimation,"Bayesian Statistics,Machine Learning,Probabilistic Graphical Models",https://metacademy.org/graphs/concepts/map_parameter_estimation,"In Bayesian parameter estimation, unless the prior is specially chosen, often there's no analytical way to integrate out the model parameters. In these cases, maximum a posteriori (MAP) estimation is a common approximation, where we choose the parameters which maximize the posterior. Although this is computationally convenient, it has the drawbacks that it's not invariant to reparameterization, and that the MAP estimate may not be typical of the posterior.",Know the definition of the MAP parameter estimate. Why might the mode of the posterior be an atypical point?. Why isn't the MAP estimate invariant to reparameterization?,"Bayesian parameter estimation,optimization problems"
Markov and Chebyshev inequalities,"Frequentist Statistics,Probability Theory",https://metacademy.org/graphs/concepts/markov_and_chebyshev_inequalities,"Markov's inequality and Chebyshev's inequality are tools for bounding the probability of a random variable taking on extreme values. While the bounds are weak, they apply under very general conditions. One use of Chebyshev's inequality is to prove the weak law of large numbers.",Know the statements of the Markov and Chebyshev inequalities. Prove these inequalities,"random variables,expectation and variance"
Markov chain Monte Carlo,"Bayesian Statistics,Machine Learning,Probabilistic Graphical Models",https://metacademy.org/graphs/concepts/markov_chain_monte_carlo,Markov Chain Monte Carlo (MCMC) is a set of techniques for approximately sampling from a probability distribution p by running a Markov chain which has p as its stationary distribution. Gibbs sampling and Metropolis-Hastings are the most common examples.,"Know the basic problem setup: that you want to compute approximate samples from an intractable distribution. Be able to check that a Markov chain has a given stationary distribution, either using the detailed balance conditions or directly from the definition. Understand why you can average several Monte Carlo operators with the same stationarity distribution p and obtain one whose stationary distribution is also p","conditional distributions,Monte Carlo estimation,Markov chains"
Markov chains,"Machine Learning,Probability Theory",https://metacademy.org/graphs/concepts/markov_chains,"In a Markov chain, a system transitions stochastically from one state to another. It is a memoryless process, in the sense that the distribution over the next state depends only on the current state, and not on the state at any past time. Markov chains are useful models of many natural processes and the basis of powerful techniques in probabilistic inference and randomized algorithms.",Know the definition of a Markov chain. Know the definition of the stationary distribution. Know of a simple condition for showing convergence to a unique stationary distribution (e.g. ergodicity),"conditional distributions,matrix multiplication,conditional independence"
Markov decision process (MDP),"Probabilistic Graphical Models,Reinforcement Learning",https://metacademy.org/graphs/concepts/markov_decision_process,A Markov Decision Process (MDP) is a mathematical framework for handling search/planning problems where the outcome of actions are uncertain (non-deterministic). MDPs aim to maximize the expected utility (minimize the expected loss) throughout the search/planning.,"Understand the four components that comprise an MDP. Understand the following terminology: states, actions, rewards, transition functions/probabilities, policy, utility, discount parameter, q-states, value. Understand the recursive definition of value. Understand the justification for discount parameters (especially with infinite time MDPs)","conditional probability,expectation and variance"
Markov models,"Bayesian Statistics,Machine Learning,Probability Theory",https://metacademy.org/graphs/concepts/markov_models,"Markov models are a kind of probabilistic model often used in language modeling. The observations are assumed to follow a Markov chain, where each observation is independent of all past observations given the previous one.",,"Markov chains,matrix multiplication,conditional distributions,conditional independence"
Markov random fields,"Machine Learning,Probabilistic Graphical Models",https://metacademy.org/graphs/concepts/markov_random_fields,"Markov random fields (MRFs) are a kind of probabilistic model which encodes the model structure as an undirected graph. Two variables are connected by an edge if they directly influence each other. MRFs are useful for domains which can be described in terms of ""soft constraints"" between variables. MRFs can be equivalently characterized in terms of factorization of the joint distribution or conditional independence properties.",,"random variables,conditional probability,conditional independence"
matrix inverse,Linear Algebra,https://metacademy.org/graphs/concepts/matrix_inverse,"The inverse of a matrix A is a matrix which, when multiplied by A, gives the identity matrix. When it exists, it can be used to solve systems of linear equations.",Know the definition of the matrix inverse. Express the inverse in terms of solutions to systems of linear equations. Show that left and right inverses are equivalent. Why might the inverse not exist?. Know the formula for the inverse of a product. Show that the inverse is unique (assuming it exists),"matrix multiplication,linear systems as matrices"
matrix multiplication,Linear Algebra,https://metacademy.org/graphs/concepts/matrix_multiplication,"Matrix multiplication is an operator on matrices which satisfies many of the properties of multiplication, although not commutativity.","Be familiar with three equivalent interpretations of matrix multiplication: dot products, outer products, and matrix-vector multiplication. Know what constraint the sizes of the matrices must satisfy for the product to be defined. Show that matrix multiplication is associative and distributive but not commutative. Know what the identity matrix refers to",dot product
matrix transpose,Linear Algebra,https://metacademy.org/graphs/concepts/matrix_transpose,"The matrix transpose is an operator which flips a matrix over its diagonal, i.e. it switches the row and column indices of the matrix.",Know the definition of the matrix transpose. Know the formula for the transpose of a product. Know the formula for the transpose of an inverse. Know how to represent dot products and outer products in terms of transposes. Know the definition of a symmetric matrix,matrix multiplication
maximum likelihood,"Frequentist Statistics,Machine Learning",https://metacademy.org/graphs/concepts/maximum_likelihood,"Maximum likelihood is a general and powerful technique for learning statistical models, i.e. fitting the parameters to data. The maximum likelihood parameters are the ones under which the observed data has the highest probability. It is widely used in practice, and techniques such as Bayesian parameter estimation are closely related to maximum likelihood.",,"random variables,independent random variables,optimization problems,Gaussian distribution"
maximum likelihood in exponential families,"Frequentist Statistics,Machine Learning",https://metacademy.org/graphs/concepts/maximum_likelihood_in_exponential_families,"For any exponential family model, the maximum likelihood parameters are such that the model moments match the data moments.","Derive the general formula for the maximum likelihood parameter estimate for exponential families: namely, that the model moments match the empirical moments.","maximum likelihood,exponential families,optimization problems"
max-product on trees,Probabilistic Graphical Models,https://metacademy.org/graphs/concepts/max_product_on_trees,"Max-product is an algorithm for MAP estimation in graphical models, based on dynamic programming. It is a generalization of the Viterbi algorithm for hidden Markov models.",,"inference in MRFs,factor graphs"
MCMC convergence,"Bayesian Statistics,Machine Learning,Probabilistic Graphical Models",https://metacademy.org/graphs/concepts/mcmc_convergence,"Markov chain Monte Carlo (MCMC) samplers eventually converge to their stationary distribution, but they may take a long time to do so. The ""mixing time"" of a chain refers to how long a chain must be run in order for one sample to be independent of another. Diagnosing mixing time is important for judging the reliability of estimates obtained from an MCMC algorithm.","Know what is meant by mixing time. Why is burn-in needed when computing expectations from an MCMC chain?. Why are we allowed to use all of the samples when estimating expectations, even though they are not independent?. Be aware that the accuracy of the estimates depends on the autocorrelation, which may be difficult to estimate. Know some practical convergence diagnostics for MCMC algorithms","Markov chain Monte Carlo,covariance"
mean field approximation,"Machine Learning,Probabilistic Graphical Models",https://metacademy.org/graphs/concepts/mean_field,"In variational inference algorithms, we try to approximate an intractable distribution with a tractable one. Mean field is probably the most common example. The approximating distribution is factorized into independent terms corresponding to different variables or groups of variables. Variational Bayes and variational Bayes EM are important applications of mean field to Bayesian parameter estimation.",,"variational inference,independent random variables,Lagrange multipliers"
merge sort,"Data Structures & Algorithms,Programming",https://metacademy.org/graphs/concepts/merge_sort,"Merge sort is one of the most efficient sorting algorithms, and exemplifies the idea of divide-and-conquer algorithms. It works by splitting the array into two sub-arrays, recursively sorting those sub-arrays, and then merging them into a larger sorted array.",Be able to implement merge sort. Analyze the running time of merge sort. Analyze the memory usage of merge sort,"recursion (programming),sorting,asymptotic complexity"
method of moments,Frequentist Statistics,https://metacademy.org/graphs/concepts/method_of_moments,The method of moments is a simple method for estimating the parameters of a probability distribution from data. The parameters are chosen so that the model moments match the empirical moments.,Understand what the method of moments estimator is and how to compute it for simple parametric models.,expectation and variance
Metropolis-Hastings algorithm,"Machine Learning,Probabilistic Graphical Models",https://metacademy.org/graphs/concepts/metropolis_hastings,"Markov Chain Monte Carlo (MCMC) is a method for approximately sampling from a distribution p by defining a Markov chain which has p as a stationary distribution. Metropolis-Hastings is a very general recipe for finding such a Markov chain: choose a proposal distribution and correct for the bias by stochastically accepting or rejecting the proposal. While the mathematical formalism is very general, there is an art to choosing good proposal distributions.","Know the statement of the detailed balance conditions. Know the definition of the Metropolis-Hastings algorithm. Show that M-H satisfies the detailed balance conditions. Be aware of the possible failure modes if the proposal distribution isn't chosen carefully: slow mixing, and low acceptance probabilities","Markov chain Monte Carlo,multivariate Gaussian distribution"
minimax search,Symbolic AI,https://metacademy.org/graphs/concepts/minimax_search,"Minimax search is a method for solving two-person adversarial games with sequential moves. It is a form of dynamic programming which solves for the optimal moves at the leaves of the game tree and works its way up. Typically, it is infeasible to run minimax search exactly, so it is instead run to a finite depth, and the value of the state is estimated using an evaluation function.","Know what the nodes and edges of the game tree represent. Know what minimax search is. Understand why it computes the optimal moves at each node. Be able to implement minimax search. Know why the value of a board state often needs to be estimated with an evaluation function, and give some examples of evaluation functions",recursion (programming)
minimum spanning trees,Data Structures & Algorithms,https://metacademy.org/graphs/concepts/minimum_spanning_trees,"A minimum spanning tree of a graph is a subgraph which is a tree, and which minimizes, out of all possible subtrees, the total weight of the edges. A minimum spanning tree can be computed efficiently using Kruskal's Algorithm or Prim's Algorithm.","Know what a minimum spanning tree of a graph refers to. Know (conceptually) how Kruskal's Algorithm and Prim's Algorithm work. Know what data structures need to be maintained in order to efficiently guarantee acyclicity. Analyze the running times of both algorithms, assuming either a binary heap or a Fibonacci heap. Prove the correctness of both algorithms","graph representations,heap (data structure)"
mixture of Gaussians models,Machine Learning,https://metacademy.org/graphs/concepts/mixture_of_gaussians,"Mixture of Gaussians is a probabilistic model commonly used for clustering: partitioning a set of data points into a set of clusters, where data points within a cluster are similar to one another.",Know what a mixture of Gaussians model is and what assumptions it makes about the data. Know how a mixture of Gaussians model can be used for clustering,multivariate Gaussian distribution
moment generating functions,Probability Theory,https://metacademy.org/graphs/concepts/moment_generating_functions,"The moment generating function (MGF) is a function which characterizes the distribution of a random variable. MGFs are useful for analyzing sums of independent random variables. In particular, they are used in the proof of the Central Limit Theorem and in deriving the Chernoff bounds, which bound the probability that a sum of independent random variables takes on extreme values.","Know the definition of the moment generating function. Be able to derive the MGFs of simple distributions (e.g. Gaussian, multinomial). Show that the moments of the distribution can be obtained from the derivatives of the MGF at zero. Show that the MGF of a sum of independent random variables is the product of the MGFs. Know that an MGF uniquely determines a distribution","expectation and variance,independent random variables"
Monte Carlo estimation,"Bayesian Statistics,Probability Theory",https://metacademy.org/graphs/concepts/monte_carlo_estimation,"One way to answer queries about a probability distribution is to simulate from the distribution, a procedure known as Monte Carlo estimation. In particular, we estimate the expected value of some function f with respect to a distribution p by generating samples from p and averaging the values of f over those samples.",Know what Monte Carlo estimation refers to. Know how Monte Carlo estimation can be used to estimate quantities such as expectation and variance. Know why the Monte Carlo estimate converges to the expectation in the large sample limit,expectation and variance
MRF parameter learning,"Machine Learning,Probabilistic Graphical Models",https://metacademy.org/graphs/concepts/mrf_parameter_learning,The parameters of a Markov random field (MRF) can be fit to data using maximum likelihood. The optimal parameters have an interesting interpretation: they are the parameters such that certain sufficient statistics of the model must match the corresponding statistics of the empirical distribution.,"Consider the maximum likelihood objective function for learning the parameters of an MRF given fully observed data.\nWhy doesn't the optimization problem decompose into separate optimization problems for each variable?\nWhy is it hard even to compute the objective function?\nDerive the gradient of the objective function.\nBy setting the gradient to zero, show that for the maximum likelihood parameters, the model statistics must match the data statistics.. Performing gradient descent requires performing inference in the MRF. Which quantities need to be computed?. Optional: show that the maximum likelihood optimization problem is convex (which implies there are no local optima). You may first want to read about covariance matrices and [convex optimization](convex_optimization) .","Markov random fields,maximum likelihood,inference in MRFs,optimization problems"
multi-dimensional arrays in C,Programming,https://metacademy.org/graphs/concepts/multi_dimensional_arrays_in_c,"Multi-dimensional arrays refer to arrays which take multiple indices. In C, these can be represented either by allocating a fixed-size array on the stack or in terms of an array of arrays. The latter is more flexible, but it leads to some tricky pointer arithmetic.","Be able to manipulate pointers to pointers: in particular, be able to determine the types of, and evaluate, expressions involving pointers to pointers. Understand how multi-dimensional arrays can be represented using pointers to pointers. Know how to allocate a multi-dimensional array (represented in terms of pointers to pointers). Understand what happens when you declare a multidimensional array, and why this is different from the pointers-to-pointers situation. Understand how an array of strings is represented","dynamic memory allocation in C,C pointers,call stack,C strings"
multidimensional scaling,Machine Learning,https://metacademy.org/graphs/concepts/multidimensional_scaling,Multidimensional scaling is a method for visualizing similarity between data points by embedding the data into a low-dimensional subspace. The locations are chosen so that the distances in the embedding space match the dissimilarities as closely as possible.,Know what stress function multidimensional scaling is minimizing. Understand how it can be used to visualize similarity data. Be aware that the exact solution can be computed efficiently,optimization problems
multinomial coefficients,Uncategorized,https://metacademy.org/graphs/concepts/multinomial_coefficients,"Multinomial coefficients are a generalization of binomial coefficients. They give the total number of ways that n objects can be partitioned into some number of categories, when the counts for each category are given.",Know the formula for the number of ways to partition n different things into groups of specified sizes. Understand why this formula works,
multinomial distribution,Probability Theory,https://metacademy.org/graphs/concepts/multinomial_distribution,The multinomial distribution is a generalization of the binomial distribution to the case where each of the events may take on more than two possible values.,Know the PMF of the distribution. Understand why the marginal over one of the counts is a binomial distribution. Be aware of how the distribution can model counts of independent events,"binomial distribution,multinomial coefficients"
multiple integrals,Multivariate Calculus,https://metacademy.org/graphs/concepts/multiple_integrals,"A multiple integral generalizes integration to functions of n variables and produces a general (n-1)-dimensional volume. For instance, n=2 corresponds to an area. Multiple integrals occur frequently in probability theory and machine learning when examining marginal densities.",Be able to compute multiple integrals by iteratively computing single integrals. Know that the order of the integrals doesn't matter. Be able to compute areas and volumes using multiple integrals,functions of several variables
multiplicity of eigenvalues,Linear Algebra,https://metacademy.org/graphs/concepts/multiplicity_of_eigenvalues,"The characteristic polynomial of a matrix may have repeated roots. If this is the case, the geometric multiplicity of a given eigenvalue (the dimension of the corresponding eigenspace) may be less than the algebraic multiplicity. This property determines whether a matrix is diagonalizable, and it is relevant to the solutions of differential equations.","Know the distinction between the algebraic and geometric multiplicity. Show that the sum of the algebraic multiplicities is the dimension of the space. Show that the geometric multiplicity of an eigenvalue can be less than the algebraic multiplicity, but not greater","roots of polynomials,eigenvalues and eigenvectors"
multivariate CDF,Probability Theory,https://metacademy.org/graphs/concepts/multivariate_cdf,Multivariate cumulative distribution functions (CDFs) are a way of characterizing multivariate distributions which generalize the univariate CDF.,,"random variables,multiple integrals,cumulative distribution function,higher-order partial derivatives"
multivariate distributions,Probability Theory,https://metacademy.org/graphs/concepts/multivariate_distributions,Multivariate distributions are a way of representing the dependencies between multiple random variables.,"Be able to represent a multivariate distribution in terms of the joint PMF or PDF. Know the definition of the joint CDF of a multivariate distribution. Be able to convert between the joint PDF and CDF. Be able to compute the probability that the random variables lie within a set. Know the definition of the marginal distribution over one or more variables, and be able to compute it from the joint distribution","random variables,multiple integrals"
multivariate Gaussian distribution,Probability Theory,https://metacademy.org/graphs/concepts/multivariate_gaussian_distribution,The multivariate Gaussian distribution is a generalization of the Gaussian distribution to higher dimensions. The parameters of an n-dimension multivariate Gaussian distribution are an n-dimensional mean vector and an n-by-n dimensional covariance matrix.,,"Gaussian distribution,covariance,covariance matrices,determinant,matrix inverse"
mutual information,Probability Theory,https://metacademy.org/graphs/concepts/mutual_information,"Mutual information is a measure of the amount of information one random variable conveys about another. It is one of the fundamental quantities of information theory, and determines the rate at which information can be conveyed over a noisy channel.",Know the definition of mutual information (in terms of the difference between joint entropy and conditional entropy). Derive some basic properties of mutual information:\nthat it is symmetric\nthat the mutual information of a random variable with itself is the entropy\nthat it is nonnegative\nthat it is zero for independent random variables. Know various ways joint entropy decomposes into sums of conditional entropies and mutual information,"entropy,independent random variables,conditional distributions"
naive Bayes,"Machine Learning,Probabilistic Graphical Models",https://metacademy.org/graphs/concepts/naive_bayes,"Naive Bayes is a modeling assumption used in classification, where we assume the observed data are conditionally independent given their class assignments. Despite its name, the standard naive Bayes model does not use Bayesian inference, but rather, a maximum likelihood estimation.",,"binary linear classifiers,maximum likelihood,optimization problems"
natural gradient,"Differential Geometry,Optimization",https://metacademy.org/graphs/concepts/natural_gradient,"The natural gradient is an operator analogous to the gradient, but which depends only on the intrinsic geometry of a manifold, not on the parameterization. Most commonly, it is used in maximum likelihood estimation, where the Riemannian metric is taken to be the Fisher metric.",Know the natural gradient update rule. Understand why it is invariant to reparameterization. Be able to derive the update rule for simple examples. What part of the natural gradient update rule makes it expensive to compute in models with many parameters?,"stochastic gradient descent,Riemannian metrics,statistical manifolds,maximum likelihood,Fisher metric"
natural numbers as sets,Set Theory,https://metacademy.org/graphs/concepts/natural_numbers_as_sets,"The natural numbers can be explicitly constructed as sets. Zero is defined to be the empty set, and each n > 0 is defined to be the set of natural numbers less than n. This is an example of how set theory serves as a powerful foundation for much of mathematics.","Construct the natural numbers in terms of sets.. Show that the constructed number system satisfies the Peano postulates.. Define equality and comparison operators, and show that these are an equivalence relation and order relations, respectively.. Define the addition and multiplication operators.. Show that these operators are commutative and associative.","set operations,equivalence relations,order relations,Peano axioms"
neural probabilistic language models,Uncategorized,https://metacademy.org/graphs/concepts/neural_probabilistic_language_models,"Neural probabilistic language models are a type of language model where the conditional probability distributions are approximated with a neural network. They are able to learn and exploit distributed representations of language, so that information can be shared between related words.",Know the basic architecture of a neural probabilistic language model.. Understand how it's able to share information between related words and why this is advantageous.,"softmax regression,n-gram language models,feed-forward neural nets"
Newton's method (optimization),Optimization,https://metacademy.org/graphs/concepts/newtons_method_optimization,"Newton's method is an optimization algorithm which, in the convex setting, iteratively minimizes quadratic approximations to the objective function. It can be impractical for high-dimensional problems because it requires inverting the Hessian matrix, but many highly effective optimization algorithms can be viewed as approximations to Newton's method.","Know the update rule for Newton's method. Understand its justification in terms of (a) minimizing quadratic approximations to the objective function, and (b) solving the linearized optimality conditions. Be aware of a pitfall of using Newton's method for nonconvex problems: it looks for critical points, not (local) minima. Understand why Newton's method is guaranteed to give a descent direction in the convex setting. Which part of the Newton update makes it impractical for high-dimensional problems?. Be aware that a step size of 1 suffices late in optimization, but a line search is often required early in optimization. Be aware that there is often a linear convergence regime followed by a quadratic convergence regime. Show that Newton's method is invariant to affine transformations of the parameters","higher-order partial derivatives,line search,convergence of gradient descent,matrix inverse,optimization problems,second derivative test,gradient descent,convex functions,computing matrix inverses,positive definite matrices,linear transformations as matrices,change of basis"
n-gram language models,Uncategorized,https://metacademy.org/graphs/concepts/n_gram_language_models,"Language models attempt to model the distribution of natural language sentences, for instance to serve as the prior distribution for a speech recognition system. N-gram models are perhaps the simplest type of language model. They exploit the chain rule for conditional probability, decomposing the probability of a sequence into a product of conditional probabilities. Each of these conditional probabilities is represented using lookup tables over word sequences.","Know how to decompose the probability of a sentence as a product of conditional probabilities using the Chain Rule for Conditional Probability.. Know what the Markov assumption is and why it's significant.. Know the basic terminology (unigram, bigram, etc.). Be able to estimate the parameters of the conditional probability tables using maximum likelihood.. Understand the tradeoffs involving small and large values of n.. Know the definition of perplexity.. Be aware of the problems of data sparsity and unknown words.",conditional probability
nondeterministic finite automata,Theory of Computation,https://metacademy.org/graphs/concepts/nondeterministic_finite_automata,"Nondeterministic finite automata are a model of computation that generalizes (deterministic) finite automata. Each state is allowed multiple transitions for a given input character, and the automaton accepts the input if there is any legal sequence of transitions which ends in an accepting state. While NFAs appear more powerful than DFAs, the two are provably equivalent in terms of the languages they can represent.","Formally define a nondeterministic finite automaton. Using the subset construction, show that deterministic and nondeterministic finite automata are equivalent",finite automata
nondeterministic Turing machines,Theory of Computation,https://metacademy.org/graphs/concepts/nondeterministic_turing_machines,"Nondeterministic Turing machines are a variant of Turing machines which can have multiple possible actions in a given state. They accept an input if there is any possible execution path which accepts it. They are no more powerful than ordinary Turing machines in terms of what they can compute, but are believed to be much more powerful in terms of what they can compute efficiently.",Define a nondeterministic Turing machine. Show that a single-track Turing machine can simulate a multi-track Turing machine. Show that a multi-track Turing machine (and therefore also a single-track one) can simulate a nondeterministic Turing machine,Turing machines
nonlinear conjugate gradient,Optimization,https://metacademy.org/graphs/concepts/nonlinear_conjugate_gradient,"While conjugate gradient is a method for solving linear systems (and important properties of the algorithm depend on this), it can also be applied heuristically to optimization problems more generally. The Fletcher-Reeves and Polak-Ribiere algorithms are two particular methods for doing so.","Understand why the gradient is a generalization of the residual to the nonlinear setting. Why don't the linear CG updates maintain conjugacy in the nonlinear setting, with the gradient in place of the residual?. Why doesn't the step size formula from linear CG choose the optimal step size? Know of at least one heuristic for choosing a step size.. Know the update rules for the Fletcher-Reeves and Polak-Ribiere methods. Why are the Fletcher-Reeves and Polak-Ribiere methods equivalent for quadratic objectives?","gradient,conjugate gradient"
